269 100
-8.272370650084149e-02 8.575298330291306e-06 0.000000000000000e+00
-8.272370650084152e-02 9.869456475247160e-06 0.000000000000000e+00
-8.272370650084152e-02 1.125269960071884e-05 0.000000000000000e+00
-8.272370650084149e-02 1.273892102556136e-05 0.000000000000000e+00
-8.272370650084149e-02 1.434304838452255e-05 0.000000000000000e+00
-8.272370650084150e-02 1.608119356167522e-05 0.000000000000000e+00
-8.272370650084149e-02 1.797081451847085e-05 0.000000000000000e+00
-8.272370650084146e-02 2.003089064181866e-05 0.000000000000000e+00
-8.272370650084149e-02 2.228211337338950e-05 0.000000000000000e+00
-8.272370650084147e-02 2.474709403482844e-05 0.000000000000000e+00
-8.272370650084146e-02 2.745059093627645e-05 0.000000000000000e+00
-8.272370650084149e-02 3.041975804928325e-05 0.000000000000000e+00
-8.272370650084152e-02 3.368441774178632e-05 0.000000000000000e+00
-8.272370650084149e-02 3.727736031451143e-05 0.000000000000000e+00
-8.272370650084149e-02 4.123467334734342e-05 0.000000000000000e+00
-8.272370650084149e-02 4.559610416362833e-05 0.000000000000000e+00
-8.272370650084146e-02 5.040545905300451e-05 0.000000000000000e+00
-8.272370650084146e-02 5.571104326256452e-05 0.000000000000000e+00
-8.272370650084152e-02 6.156614617562668e-05 0.000000000000000e+00
-8.272370650084150e-02 6.802957655126022e-05 0.000000000000000e+00
-8.272370650084149e-02 7.516625320052028e-05 0.000000000000000e+00
-8.272370650084149e-02 8.304785703215495e-05 0.000000000000000e+00
-8.272370650084147e-02 9.175355101694316e-05 0.000000000000000e+00
-8.272370650084149e-02 1.013707753019983e-04 0.000000000000000e+00
-8.272370650084147e-02 1.119961254611801e-04 0.000000000000000e+00
-8.272370650084149e-02 1.237363227027775e-04 0.000000000000000e+00
-8.272370650084149e-02 1.367092857792460e-04 0.000000000000000e+00
-8.272370650084146e-02 1.510453153652803e-04 0.000000000000000e+00
-8.272370650084147e-02 1.668884028001366e-04 0.000000000000000e+00
-8.272370650084149e-02 1.843976763392369e-04 0.000000000000000e+00
-8.272370650084149e-02 2.037489994412300e-04 0.000000000000000e+00
-8.272370650084149e-02 2.251367371437382e-04 0.000000000000000e+00
-8.272370650084149e-02 2.487757082692927e-04 0.000000000000000e+00
-8.272370650084149e-02 2.749033430694555e-04 0.000000000000000e+00
-8.272370650084149e-02 3.037820679785395e-04 0.000000000000000e+00
-8.272370650084149e-02 3.357019414294406e-04 0.000000000000000e+00
-8.272370650084149e-02 3.709835672057595e-04 0.000000000000000e+00
-8.272370650084149e-02 4.099813145919748e-04 0.000000000000000e+00
-8.272370650084149e-02 4.530868776649169e-04 0.000000000000000e+00
-8.272370650084150e-02 5.007332094761283e-04 0.000000000000000e+00
-8.272370650084147e-02 5.533988706401058e-04 0.000000000000000e+00
-8.272370650084149e-02 6.116128360057299e-04 0.000000000000000e+00
-8.272370650084149e-02 6.759598076891706e-04 0.000000000000000e+00
-8.272370650084150e-02 7.470860878324660e-04 0.000000000000000e+00
-8.272370650084149e-02 8.257060700738738e-04 0.000000000000000e+00
-8.272370650084152e-02 9.126094149304382e-04 0.000000000000000e+00
-8.272370650084152e-02 1.008668981162434e-03 0.000000000000000e+00
-8.272370650084149e-02 1.114849592782474e-03 0.000000000000000e+00
-8.272370650084149e-02 1.232217729765258e-03 0.000000000000000e+00
-8.272370650084149e-02 1.361952239791644e-03 0.000000000000000e+00
-8.272370650084150e-02 1.505356178615968e-03 0.000000000000000e+00
-8.272370650084149e-02 1.663869897981508e-03 0.000000000000000e+00
-8.272370650084149e-02 1.839085512539327e-03 0.000000000000000e+00
-8.272370650084152e-02 2.032762891076480e-03 0.000000000000000e+00
-8.272370650084149e-02 2.246847332669801e-03 0.000000000000000e+00
-8.272370650084149e-02 2.483489105304860e-03 0.000000000000000e+00
-8.272370650084149e-02 2.745065043206302e-03 0.000000000000000e+00
-8.272370650084149e-02 3.034202419803612e-03 0.000000000000000e+00
-8.272370650084149e-02 3.353805336112725e-03 0.000000000000000e+00
-8.272370650084149e-02 3.707083889578926e-03 0.000000000000000e+00
-8.272370650084149e-02 4.097586416353361e-03 0.000000000000000e+00
-8.272370650084150e-02 4.529235130845239e-03 0.000000000000000e+00
-8.272370650084149e-02 5.006365520513974e-03 0.000000000000000e+00
-8.272370650084152e-02 5.533769891583255e-03 0.000000000000000e+00
-8.272370650084149e-02 6.116745503051069e-03 0.000000000000000e+00
-8.272370650084152e-02 6.761147772454413e-03 0.000000000000000e+00
-8.272370650084150e-02 7.473449087788459e-03 0.000000000000000e+00
-8.272370650084149e-02 8.260803816288112e-03 0.000000000000000e+00
-8.272370650084149e-02 9.131120163021318e-03 0.000000000000000e+00
-8.272370650084152e-02 1.009313960104314e-02 0.000000000000000e+00
-8.272370650084147e-02 1.115652467090847e-02 0.000000000000000e+00
-8.272370650084152e-02 1.233195603140334e-02 0.000000000000000e+00
-8.272370650084149e-02 1.363123973627410e-02 0.000000000000000e+00
-8.272370650084146e-02 1.506742581444368e-02 0.000000000000000e+00
-8.272370650084149e-02 1.665493934473714e-02 0.000000000000000e+00
-8.272370650084149e-02 1.840972534163304e-02 0.000000000000000e+00
-8.272370650084149e-02 2.034940890727598e-02 0.000000000000000e+00
-8.272370650084149e-02 2.249347225831965e-02 0.000000000000000e+00
-8.272370650084149e-02 2.486345040566204e-02 0.000000000000000e+00
-8.272370650084149e-02 2.748314745248208e-02 0.000000000000000e+00
-8.272370650084149e-02 3.037887568308100e-02 0.000000000000000e+00
-8.272370650084149e-02 3.357971984393925e-02 0.000000000000000e+00
-8.272370650084149e-02 3.711782927143380e-02 0.000000000000000e+00
-8.272370650084149e-02 4.102874080035167e-02 0.000000000000000e+00
-8.272370650084149e-02 4.535173569649819e-02 0.000000000000000e+00
-8.272370650084149e-02 5.013023419843800e-02 0.000000000000000e+00
-8.272370650084149e-02 5.541223163115257e-02 0.000000000000000e+00
-8.272370650084149e-02 6.125078047194896e-02 0.000000000000000e+00
-8.272370650084149e-02 6.770452321049657e-02 0.000000000000000e+00
-8.272370650084149e-02 7.483828135504929e-02 0.000000000000000e+00
-8.272370650084149e-02 8.272370650084149e-02 0.000000000000000e+00
-8.272370650084149e-02 9.143999999999999e-02 0.000000000000000e+00
-7.483828135504929e-02 0.000000000000000e+00 0.000000000000000e+00
-7.483828135504930e-02 1.000000000000000e-06 0.000000000000000e+00
-7.483828135504929e-02 2.000000000000000e-06 0.000000000000000e+00
-7.483828135504929e-02 3.010044018003181e-06 0.000000000000000e+00
-7.483828135504926e-02 4.040276954310375e-06 0.000000000000000e+00
-7.483828135504926e-02 5.101046487081324e-06 0.000000000000000e+00
-7.483828135504929e-02 6.203007004600406e-06 0.000000000000000e+00
-7.483828135504929e-02 7.357226618144381e-06 0.000000000000000e+00
-7.483828135504929e-02 8.575298330291306e-06 0.000000000000000e+00
-7.483828135504929e-02 9.869456475247160e-06 0.000000000000000e+00
-7.483828135504929e-02 1.125269960071884e-05 0.000000000000000e+00
-7.483828135504929e-02 1.273892102556135e-05 0.000000000000000e+00
-7.483828135504929e-02 1.434304838452255e-05 0.000000000000000e+00
-7.483828135504932e-02 1.608119356167522e-05 0.000000000000000e+00
-7.483828135504929e-02 1.797081451847085e-05 0.000000000000000e+00
-7.483828135504927e-02 2.003089064181866e-05 0.000000000000000e+00
-7.483828135504929e-02 2.228211337338950e-05 0.000000000000000e+00
-7.483828135504929e-02 2.474709403482843e-05 0.000000000000000e+00
-7.483828135504926e-02 2.745059093627645e-05 0.000000000000000e+00
-7.483828135504926e-02 3.041975804928325e-05 0.000000000000000e+00
-7.483828135504929e-02 3.368441774178632e-05 0.000000000000000e+00
-7.483828135504929e-02 3.727736031451143e-05 0.000000000000000e+00
-7.483828135504929e-02 4.123467334734342e-05 0.000000000000000e+00
-7.483828135504929e-02 4.559610416362833e-05 0.000000000000000e+00
-7.483828135504926e-02 5.040545905300451e-05 0.000000000000000e+00
-7.483828135504926e-02 5.571104326256452e-05 0.000000000000000e+00
-7.483828135504929e-02 6.156614617562668e-05 0.000000000000000e+00
-7.483828135504930e-02 6.802957655126022e-05 0.000000000000000e+00
-7.483828135504927e-02 7.516625320052028e-05 0.000000000000000e+00
-7.483828135504929e-02 8.304785703215495e-05 0.000000000000000e+00
-7.483828135504929e-02 9.175355101694316e-05 0.000000000000000e+00
-7.483828135504929e-02 1.013707753019983e-04 0.000000000000000e+00
-7.483828135504932e-02 1.119961254611801e-04 0.000000000000000e+00
-7.483828135504929e-02 1.237363227027775e-04 0.000000000000000e+00
-7.483828135504929e-02 1.367092857792460e-04 0.000000000000000e+00
-7.483828135504929e-02 1.510453153652803e-04 0.000000000000000e+00
-7.483828135504926e-02 1.668884028001366e-04 0.000000000000000e+00
-7.483828135504929e-02 1.843976763392369e-04 0.000000000000000e+00
-7.483828135504926e-02 2.037489994412300e-04 0.000000000000000e+00
-7.483828135504932e-02 2.251367371437382e-04 0.000000000000000e+00
-7.483828135504926e-02 2.487757082692927e-04 0.000000000000000e+00
-7.483828135504929e-02 2.749033430694555e-04 0.000000000000000e+00
-7.483828135504929e-02 3.037820679785395e-04 0.000000000000000e+00
-7.483828135504929e-02 3.357019414294406e-04 0.000000000000000e+00
-7.483828135504929e-02 3.709835672057595e-04 0.000000000000000e+00
-7.483828135504932e-02 4.099813145919748e-04 0.000000000000000e+00
-7.483828135504929e-02 4.530868776649169e-04 0.000000000000000e+00
-7.483828135504932e-02 5.007332094761283e-04 0.000000000000000e+00
-7.483828135504929e-02 5.533988706401058e-04 0.000000000000000e+00
-7.483828135504932e-02 6.116128360057299e-04 0.000000000000000e+00
-7.483828135504929e-02 6.759598076891706e-04 0.000000000000000e+00
-7.483828135504929e-02 7.470860878324660e-04 0.000000000000000e+00
-7.483828135504929e-02 8.257060700738738e-04 0.000000000000000e+00
-7.483828135504929e-02 9.126094149304384e-04 0.000000000000000e+00
-7.483828135504926e-02 1.008668981162434e-03 0.000000000000000e+00
-7.483828135504930e-02 1.114849592782474e-03 0.000000000000000e+00
-7.483828135504929e-02 1.232217729765258e-03 0.000000000000000e+00
-7.483828135504926e-02 1.361952239791644e-03 0.000000000000000e+00
-7.483828135504930e-02 1.505356178615968e-03 0.000000000000000e+00
-7.483828135504929e-02 1.663869897981508e-03 0.000000000000000e+00
-7.483828135504926e-02 1.839085512539327e-03 0.000000000000000e+00
-7.483828135504929e-02 2.032762891076480e-03 0.000000000000000e+00
-7.483828135504927e-02 2.246847332669801e-03 0.000000000000000e+00
-7.483828135504929e-02 2.483489105304860e-03 0.000000000000000e+00
-7.483828135504929e-02 2.745065043206302e-03 0.000000000000000e+00
-7.483828135504929e-02 3.034202419803612e-03 0.000000000000000e+00
-7.483828135504927e-02 3.353805336112725e-03 0.000000000000000e+00
-7.483828135504929e-02 3.707083889578925e-03 0.000000000000000e+00
-7.483828135504932e-02 4.097586416353361e-03 0.000000000000000e+00
-7.483828135504929e-02 4.529235130845239e-03 0.000000000000000e+00
-7.483828135504929e-02 5.006365520513974e-03 0.000000000000000e+00
-7.483828135504929e-02 5.533769891583255e-03 0.000000000000000e+00
-7.483828135504927e-02 6.116745503051067e-03 0.000000000000000e+00
-7.483828135504929e-02 6.761147772454413e-03 0.000000000000000e+00
-7.483828135504927e-02 7.473449087788459e-03 0.000000000000000e+00
-7.483828135504926e-02 8.260803816288112e-03 0.000000000000000e+00
-7.483828135504929e-02 9.131120163021318e-03 0.000000000000000e+00
-7.483828135504929e-02 1.009313960104314e-02 0.000000000000000e+00
-7.483828135504929e-02 1.115652467090847e-02 0.000000000000000e+00
-7.483828135504929e-02 1.233195603140334e-02 0.000000000000000e+00
-7.483828135504932e-02 1.363123973627409e-02 0.000000000000000e+00
-7.483828135504930e-02 1.506742581444368e-02 0.000000000000000e+00
-7.483828135504929e-02 1.665493934473714e-02 0.000000000000000e+00
-7.483828135504929e-02 1.840972534163304e-02 0.000000000000000e+00
-7.483828135504929e-02 2.034940890727598e-02 0.000000000000000e+00
-7.483828135504929e-02 2.249347225831965e-02 0.000000000000000e+00
-7.483828135504929e-02 2.486345040566204e-02 0.000000000000000e+00
-7.483828135504929e-02 2.748314745248209e-02 0.000000000000000e+00
-7.483828135504929e-02 3.037887568308099e-02 0.000000000000000e+00
-7.483828135504927e-02 3.357971984393925e-02 0.000000000000000e+00
-7.483828135504929e-02 3.711782927143380e-02 0.000000000000000e+00
-7.483828135504929e-02 4.102874080035167e-02 0.000000000000000e+00
-7.483828135504929e-02 4.535173569649819e-02 0.000000000000000e+00
-7.483828135504929e-02 5.013023419843800e-02 0.000000000000000e+00
-7.483828135504929e-02 5.541223163115257e-02 0.000000000000000e+00
-7.483828135504929e-02 6.125078047194896e-02 0.000000000000000e+00
-7.483828135504929e-02 6.770452321049657e-02 0.000000000000000e+00
-7.483828135504929e-02 7.483828135504929e-02 0.000000000000000e+00
-7.483828135504929e-02 8.272370650084149e-02 0.000000000000000e+00
-7.483828135504929e-02 9.143999999999999e-02 0.000000000000000e+00
-6.770452321049657e-02 0.000000000000000e+00 0.000000000000000e+00
-6.770452321049658e-02 1.000000000000000e-06 0.000000000000000e+00
-6.770452321049657e-02 2.000000000000000e-06 0.000000000000000e+00
-6.770452321049655e-02 3.010044018003181e-06 0.000000000000000e+00
-6.770452321049655e-02 4.040276954310375e-06 0.000000000000000e+00
-6.770452321049657e-02 5.101046487081324e-06 0.000000000000000e+00
-6.770452321049658e-02 6.203007004600406e-06 0.000000000000000e+00
-6.770452321049654e-02 7.357226618144381e-06 0.000000000000000e+00
-6.770452321049659e-02 8.575298330291306e-06 0.000000000000000e+00
-6.770452321049659e-02 9.869456475247160e-06 0.000000000000000e+00
-6.770452321049657e-02 1.125269960071884e-05 0.000000000000000e+00
-6.770452321049657e-02 1.273892102556136e-05 0.000000000000000e+00
-6.770452321049658e-02 1.434304838452255e-05 0.000000000000000e+00
-6.770452321049657e-02 1.608119356167522e-05 0.000000000000000e+00
-6.770452321049654e-02 1.797081451847085e-05 0.000000000000000e+00
-6.770452321049654e-02 2.003089064181866e-05 0.000000000000000e+00
-6.770452321049657e-02 2.228211337338950e-05 0.000000000000000e+00
-6.770452321049654e-02 2.474709403482844e-05 0.000000000000000e+00
-6.770452321049655e-02 2.745059093627645e-05 0.000000000000000e+00
-6.770452321049659e-02 3.041975804928325e-05 0.000000000000000e+00
-6.770452321049655e-02 3.368441774178632e-05 0.000000000000000e+00
-6.770452321049657e-02 3.727736031451143e-05 0.000000000000000e+00
-6.770452321049657e-02 4.123467334734342e-05 0.000000000000000e+00
-6.770452321049657e-02 4.559610416362833e-05 0.000000000000000e+00
-6.770452321049657e-02 5.040545905300451e-05 0.000000000000000e+00
-6.770452321049654e-02 5.571104326256452e-05 0.000000000000000e+00
-6.770452321049658e-02 6.156614617562668e-05 0.000000000000000e+00
-6.770452321049657e-02 6.802957655126022e-05 0.000000000000000e+00
-6.770452321049657e-02 7.516625320052028e-05 0.000000000000000e+00
-6.770452321049659e-02 8.304785703215495e-05 0.000000000000000e+00
-6.770452321049657e-02 9.175355101694319e-05 0.000000000000000e+00
-6.770452321049657e-02 1.013707753019983e-04 0.000000000000000e+00
-6.770452321049655e-02 1.119961254611801e-04 0.000000000000000e+00
-6.770452321049654e-02 1.237363227027775e-04 0.000000000000000e+00
-6.770452321049657e-02 1.367092857792460e-04 0.000000000000000e+00
-6.770452321049657e-02 1.510453153652803e-04 0.000000000000000e+00
-6.770452321049658e-02 1.668884028001366e-04 0.000000000000000e+00
-6.770452321049654e-02 1.843976763392369e-04 0.000000000000000e+00
-6.770452321049659e-02 2.037489994412300e-04 0.000000000000000e+00
-6.770452321049657e-02 2.251367371437382e-04 0.000000000000000e+00
-6.770452321049657e-02 2.487757082692927e-04 0.000000000000000e+00
-6.770452321049654e-02 2.749033430694555e-04 0.000000000000000e+00
-6.770452321049654e-02 3.037820679785395e-04 0.000000000000000e+00
-6.770452321049657e-02 3.357019414294407e-04 0.000000000000000e+00
-6.770452321049657e-02 3.709835672057595e-04 0.000000000000000e+00
-6.770452321049657e-02 4.099813145919748e-04 0.000000000000000e+00
-6.770452321049657e-02 4.530868776649169e-04 0.000000000000000e+00
-6.770452321049657e-02 5.007332094761283e-04 0.000000000000000e+00
-6.770452321049658e-02 5.533988706401058e-04 0.000000000000000e+00
-6.770452321049657e-02 6.116128360057299e-04 0.000000000000000e+00
-6.770452321049657e-02 6.759598076891706e-04 0.000000000000000e+00
-6.770452321049657e-02 7.470860878324660e-04 0.000000000000000e+00
-6.770452321049657e-02 8.257060700738738e-04 0.000000000000000e+00
-6.770452321049658e-02 9.126094149304384e-04 0.000000000000000e+00
-6.770452321049657e-02 1.008668981162434e-03 0.000000000000000e+00
-6.770452321049657e-02 1.114849592782474e-03 0.000000000000000e+00
-6.770452321049654e-02 1.232217729765258e-03 0.000000000000000e+00
-6.770452321049657e-02 1.361952239791644e-03 0.000000000000000e+00
-6.770452321049657e-02 1.505356178615968e-03 0.000000000000000e+00
-6.770452321049657e-02 1.663869897981508e-03 0.000000000000000e+00
-6.770452321049654e-02 1.839085512539327e-03 0.000000000000000e+00
-6.770452321049657e-02 2.032762891076480e-03 0.000000000000000e+00
-6.770452321049659e-02 2.246847332669801e-03 0.000000000000000e+00
-6.770452321049657e-02 2.483489105304860e-03 0.000000000000000e+00
-6.770452321049658e-02 2.745065043206302e-03 0.000000000000000e+00
-6.770452321049657e-02 3.034202419803612e-03 0.000000000000000e+00
-6.770452321049657e-02 3.353805336112725e-03 0.000000000000000e+00
-6.770452321049655e-02 3.707083889578926e-03 0.000000000000000e+00
-6.770452321049657e-02 4.097586416353361e-03 0.000000000000000e+00
-6.770452321049657e-02 4.529235130845239e-03 0.000000000000000e+00
-6.770452321049657e-02 5.006365520513974e-03 0.000000000000000e+00
-6.770452321049658e-02 5.533769891583255e-03 0.000000000000000e+00
-6.770452321049657e-02 6.116745503051069e-03 0.000000000000000e+00
-6.770452321049654e-02 6.761147772454413e-03 0.000000000000000e+00
-6.770452321049657e-02 7.473449087788459e-03 0.000000000000000e+00
-6.770452321049657e-02 8.260803816288112e-03 0.000000000000000e+00
-6.770452321049657e-02 9.131120163021318e-03 0.000000000000000e+00
-6.770452321049657e-02 1.009313960104314e-02 0.000000000000000e+00
-6.770452321049657e-02 1.115652467090847e-02 0.000000000000000e+00
-6.770452321049659e-02 1.233195603140334e-02 0.000000000000000e+00
-6.770452321049654e-02 1.363123973627410e-02 0.000000000000000e+00
-6.770452321049654e-02 1.506742581444368e-02 0.000000000000000e+00
-6.770452321049657e-02 1.665493934473714e-02 0.000000000000000e+00
-6.770452321049657e-02 1.840972534163304e-02 0.000000000000000e+00
-6.770452321049657e-02 2.034940890727598e-02 0.000000000000000e+00
-6.770452321049657e-02 2.249347225831965e-02 0.000000000000000e+00
-6.770452321049657e-02 2.486345040566204e-02 0.000000000000000e+00
-6.770452321049657e-02 2.748314745248209e-02 0.000000000000000e+00
-6.770452321049657e-02 3.037887568308100e-02 0.000000000000000e+00
-6.770452321049657e-02 3.357971984393925e-02 0.000000000000000e+00
-6.770452321049657e-02 3.711782927143380e-02 0.000000000000000e+00
-6.770452321049657e-02 4.102874080035167e-02 0.000000000000000e+00
-6.770452321049657e-02 4.535173569649819e-02 0.000000000000000e+00
-6.770452321049657e-02 5.013023419843800e-02 0.000000000000000e+00
-6.770452321049657e-02 5.541223163115257e-02 0.000000000000000e+00
-6.770452321049657e-02 6.125078047194896e-02 0.000000000000000e+00
-6.770452321049657e-02 6.770452321049657e-02 0.000000000000000e+00
-6.770452321049657e-02 7.483828135504929e-02 0.000000000000000e+00
-6.770452321049657e-02 8.272370650084149e-02 0.000000000000000e+00
-6.770452321049657e-02 9.143999999999999e-02 0.000000000000000e+00
-6.125078047194896e-02 0.000000000000000e+00 0.000000000000000e+00
-6.125078047194896e-02 1.000000000000000e-06 0.000000000000000e+00
-6.125078047194894e-02 2.000000000000000e-06 0.000000000000000e+00
-6.125078047194895e-02 3.010044018003181e-06 0.000000000000000e+00
-6.125078047194895e-02 4.040276954310375e-06 0.000000000000000e+00
-6.125078047194896e-02 5.101046487081324e-06 0.000000000000000e+00
-6.125078047194896e-02 6.203007004600406e-06 0.000000000000000e+00
-6.125078047194896e-02 7.357226618144381e-06 0.000000000000000e+00
-6.125078047194896e-02 8.575298330291306e-06 0.000000000000000e+00
-6.125078047194896e-02 9.869456475247160e-06 0.000000000000000e+00
-6.125078047194896e-02 1.125269960071884e-05 0.000000000000000e+00
